               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,             0.03148,            0.036392,           0.0086498,             0.32583,             0.18132,             0.16718,            0.080147,            0.064278,            0.082916,            0.047546,             0.00307,             0.00307,             0.00307
                 142,            0.031947,            0.037774,           0.0082961,             0.26307,             0.23149,             0.18482,            0.083626,            0.063663,            0.079498,            0.050757,           0.0030205,           0.0030205,           0.0030205
                 143,            0.030743,            0.037432,            0.008705,              0.2563,             0.20106,             0.18593,            0.088853,            0.065341,             0.07959,            0.051599,            0.002971,            0.002971,            0.002971
                 144,            0.032064,            0.037425,           0.0086385,             0.37219,             0.21493,             0.19554,             0.09505,            0.066645,            0.080429,            0.050305,           0.0029215,           0.0029215,           0.0029215
                 145,            0.031121,            0.036195,           0.0093549,              0.3163,             0.18275,             0.17576,            0.085445,            0.063943,            0.079422,            0.050635,            0.002872,            0.002872,            0.002872
                 146,            0.030481,            0.039299,           0.0082466,             0.37038,              0.1727,             0.16626,            0.080521,            0.063724,            0.079391,            0.051172,           0.0028225,           0.0028225,           0.0028225
                 147,            0.031251,            0.035034,           0.0083465,             0.33959,             0.18011,             0.16565,            0.070872,            0.063424,             0.08075,            0.049512,            0.002773,            0.002773,            0.002773
                 148,            0.032039,            0.038713,           0.0081479,             0.33702,             0.17757,             0.17675,            0.080075,            0.062335,            0.079132,            0.050854,           0.0027235,           0.0027235,           0.0027235
                 149,            0.031164,            0.036052,           0.0083312,             0.25748,             0.20117,             0.16462,            0.073609,            0.062502,            0.076431,            0.051648,            0.002674,            0.002674,            0.002674
                 150,            0.030507,            0.035028,           0.0078065,             0.23647,             0.19698,             0.16836,             0.07975,            0.062825,            0.075363,            0.052698,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0317,            0.038692,            0.008913,             0.28054,             0.18491,             0.16421,            0.069998,            0.063784,            0.079056,            0.051257,            0.002575,            0.002575,            0.002575
                 152,            0.031171,            0.036961,           0.0080362,             0.23547,             0.19563,             0.18588,            0.086855,            0.063663,            0.078857,             0.05033,           0.0025255,           0.0025255,           0.0025255
                 153,            0.030173,            0.037366,           0.0088546,              0.2555,             0.18588,             0.18097,            0.085537,            0.063216,            0.080322,            0.048572,            0.002476,            0.002476,            0.002476
                 154,            0.030992,             0.03486,           0.0080187,             0.28873,             0.18536,             0.16349,            0.075822,            0.064289,            0.080048,            0.049243,           0.0024265,           0.0024265,           0.0024265
                 155,            0.030489,            0.036154,           0.0082373,             0.39009,             0.16259,             0.16826,            0.080063,             0.06368,            0.082413,            0.049316,            0.002377,            0.002377,            0.002377
                 156,            0.029998,            0.034927,           0.0077421,             0.28655,             0.22636,             0.18163,            0.086303,            0.062791,            0.080276,            0.050684,           0.0023275,           0.0023275,           0.0023275
                 157,            0.031178,            0.039545,           0.0081735,             0.30555,             0.18604,             0.17026,            0.077112,            0.063929,            0.081009,            0.049011,            0.002278,            0.002278,            0.002278
